index,trace,input_val,output_event,input_event
3,"['t1', 't170', 't199', 't60']",{'qos': 1},!U.output(3);,?U.input(qos);
4,"['t1', 't170', 't199', 't60', 't173']",{'qos': 0},,
5,"['t1', 't170', 't199', 't60', 't173', 't118']",{'qos': 0},,
6,"['t1', 't170', 't199', 't60', 't173', 't118', 't35']",{'qos': 0},,
7,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36']",{'qos': 1},!U.output(5);,?U.input(qos);
8,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36', 't93']",{'qos': 1},!U.output(5);,?U.input(qos);
9,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36', 't93', 't178']",{'qos': 1},,
10,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36', 't93', 't178', 't67']",{'qos': 1},,
11,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36', 't93', 't178', 't67', 't12']",{'qos': 1},!U.output(5);,?U.input(qos);
12,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36', 't93', 't178', 't67', 't12', 't97']",{'qos': 1},,
13,"['t1', 't170', 't199', 't60', 't173', 't118', 't35', 't36', 't93', 't178', 't67', 't12', 't97', 't70']",{'qos': 1},,
